CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
20239,BANK OF CADIZ&TRUST CO,20251231,SM,1,143003,4231,50862,78676,137678,0,0,0,138613,4390,4390,2033,935,0,9234,935,0
20241,AMERICAN BANK NATIONAL ASSN,20251231,N,1,2505741,233909,228466,1888313,2271114,0,0,0,2294556,211185,211185,72894,23442,0,155053,23442,0
20268,SCALE BANK,20251231,NM,1,564303,12050,51894,449008,423680,0,15000,0,451085,113218,113218,4854,12405,15000,51351,12405,0
20279,COMMUNITY STATE BANK,20251231,SM,1,379768,19270,64757,274312,351510,0,0,0,352612,27156,27156,5603,1102,0,21429,1102,0
20296,JOHNSON BANK,20251231,SM,1,7187696,481341,1033534,5198326,5993592,0,188312,0,6324356,863340,863340,301138,142452,188312,474495,142452,0
20311,AMERICAN BANK,20251231,NM,1,628770,77888,128917,385529,563595,0,50,0,570868,57902,57902,16545,7223,50,36436,7223,0
20353,GULF COAST BANK,20251231,NM,1,498181,15990,154059,291021,426471,0,0,0,431414,66767,66767,25924,4943,0,37111,4943,0
20369,HEARTLAND BANK&TRUST CO,20251231,NM,1,5067928,122269,1274535,3415782,4371113,0,12301,0,4413659,654269,654269,88856,30245,12301,255342,30245,0
20387,BANK OF THE ORIENT,20251231,SM,1,1121969,106556,33542,939927,953537,0,8000,0,989154,132815,132815,24776,27617,8000,41944,27617,0
20429,LIBERTY BANK,20251231,NM,1,235880,3550,30073,166366,209385,0,0,0,210308,25572,25572,5592,923,0,35891,923,0
20454,CITIZENS BANK OF EDINBURG,20251231,NM,1,30606,12965,8114,8449,27138,0,0,0,27396,3210,3210,968,258,0,1078,258,0
20468,FIRSTSTATE BANK,20251231,NM,1,352106,41312,144092,148733,327044,0,0,0,328707,23399,23399,11132,1663,0,17969,1663,0
20479,FIRST SECURITY BK OF ROUNDUP,20251231,NM,1,93424,17790,40876,26695,81112,0,0,0,81525,11899,11899,2759,413,0,8063,413,0
20484,BENCHMARK COMMUNITY BANK,20251231,SM,1,1366254,70160,99612,1122769,1225950,0,0,0,1239518,126736,126736,39969,13568,0,73713,13568,0
